time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
10.998707,141.1613494,404.1045644,176.9426564,412.3518057,188.4878101,505.7573109,148.6323945,491.2957122,,36.71946241,42.3980187,112.1297229,,-383.3818873
11.032937,144.5245053,414.870919,186.0714829,414.088985,151.4649387,502.525459,179.8017996,509.8766187,,41.55433513,29.2748567,87.92888034,,-683.9319481
11.071749,159.2107893,416.067531,169.4487742,418.7203611,174.9849146,515.9603751,175.9238965,513.3968416,,10.57609769,2.730089928,101.1306251,,662.8546815
11.098204,161.6948489,416.8610545,188.6853645,417.9474708,168.4871261,509.6999255,187.8160339,515.7909396,,27.01237185,20.26591053,93.08700768,,56.56719471
11.133427,159.0591181,407.6653317,180.3728417,418.7480241,161.5184977,508.9014622,182.7195936,515.6800219,,24.02292415,22.25837683,101.2659996,,-432.8880411
11.159247,140.3246785,410.1096258,170.3258565,413.9755593,175.9990766,505.5114604,181.4768133,515.1440905,,30.24923343,11.08120761,101.8536829,,1917.982413
11.193552,117.058305,413.1210862,151.4663067,416.275079,111.4420066,466.8835497,177.1026683,506.8690722,,34.55225393,76.87759429,54.05502094,,-1245.169974
11.237524,103.9158256,388.6862384,89.72369361,380.2369209,154.3038097,477.9049504,172.1898369,490.9281904,,16.51688762,22.12498021,102.4642743,,-231.0550826
11.275913,84.04129681,371.5584722,84.85989938,369.3327076,183.5193869,488.2521431,170.2825571,487.5582138,,2.371526559,13.25500664,153.3404814,,-144.0184563
11.303857,83.47633451,369.0447927,173.359945,412.6882828,170.6875266,490.0402025,179.9164792,490.2121839,,99.91905555,9.230554896,149.1498616,,-80.62411333
11.342023,115.2456416,383.6611594,170.4545005,414.582814,172.838909,494.7265625,178.9917847,494.8109953,,63.27848627,6.153454987,125.1099845,,-71.09766715
11.364646,173.7480241,419.2798517,199.6080071,420.9690388,178.3124468,503.0349435,182.6170735,504.4934795,,25.91509355,4.545012463,83.87937385,,0
11.403032,173.7480241,419.2798517,199.6080071,420.9690388,178.3124468,503.0349435,182.6170735,504.4934795,,25.91509355,4.545012463,83.87937385,,-34.09790172
11.43732,174.2509728,421.379917,189.5082989,422.3215969,184.5144166,497.5982642,181.2685433,498.5260366,,15.28635865,3.375863609,76.90627236,,332.1345491
11.462132,168.7382015,425.1538561,184.5426876,425.3974267,175.8627949,483.6491139,178.7665294,494.8971379,,15.80636288,11.61678604,58.92754039,,-1.0509829
11.496373,173.931215,421.2971942,183.827935,421.745425,175.2373769,479.0538743,178.8769911,490.0478782,,9.906865176,11.58079934,57.77144758,,-109.4522487
11.522197,166.9182803,422.655376,181.796533,422.7358189,171.1672392,472.1462336,173.4432188,480.599503,,14.87847017,8.754304466,49.67291654,,249.2087718
11.575677,102.4031037,389.6910339,113.9254583,388.4017814,158.8308989,477.8166038,179.7080572,485.0109436,,11.59425839,22.08198958,104.6432613,,158.6357678
11.602443,92.49274228,389.4098447,154.271416,405.4122842,160.1730454,490.6962473,186.0298745,495.6550568,,63.81757279,26.32803454,121.8177277,,0
11.635645,92.49274228,389.4098447,154.271416,405.4122842,160.1730454,490.6962473,186.0298745,495.6550568,,63.81757279,26.32803454,121.8177277,,186.7227905
